trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
422,False,"{'a': 0.01, 'e': 0.014846368338086832}",20,13,2.9373279685180753,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
423,False,"{'a': 0.01, 'e': 0.014698644504901784}",25,0,26.169599022537636,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
424,False,"{'a': 0.01, 'e': 0.014552390548416123}",20,7,21.894419302996365,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.01, 'e': 0.01440759184311235}",20,0,27.369463313019352,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
426,False,"{'a': 0.01, 'e': 0.014264233908999256}",20,0,14.166440236170857,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
427,False,"{'a': 0.01, 'e': 0.014122302410163962}",20,13,16.515557974780663,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.01, 'e': 0.013981783153338296}",20,12,11.07069707217705,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.01, 'e': 0.013842662086479501}",20,2,21.84602419024074,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.01, 'e': 0.013704925297364945}",25,7,10.94753519616854,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
431,False,"{'a': 0.01, 'e': 0.013568559012200934}",30,19,19.14690131142013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.01, 'e': 0.013433549594245302}",25,10,27.873783106640683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.01, 'e': 0.013299883542443767}",20,10,16.571417099268352,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.01, 'e': 0.013167547490079751}",20,6,23.94693826015037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.01, 'e': 0.013036528203437736}",20,11,12.823053734026075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.01, 'e': 0.012906812580479862}",30,21,11.226096642368221,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.01, 'e': 0.01277838764953576}",30,14,26.464286399571684,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.01, 'e': 0.012651240568005305}",25,19,9.874831536973302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.01, 'e': 0.012525358621074385}",30,14,24.191490660088874,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.01, 'e': 0.012400729220443406}",20,16,7.541844982474793,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.01, 'e': 0.012277339903068436}",25,0,36.2266965280146,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
442,False,"{'a': 0.01, 'e': 0.012155178329914935}",25,20,8.5002145436698,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
